nct,status,start_date,phases,sponsor,sponsor_class,intervention_names,intervention_other_names,n_sites,countries,has_us_or_eu_site,fetched_date
NCT06136364,RECRUITING,2023-08-15,PHASE1,"Hebei Senlang Biotechnology Inc., Ltd.",INDUSTRY,CAR-T,,1,China,False,2026-09-07
NCT06097455,NOT_YET_RECRUITING,2024-01-15,EARLY_PHASE1,Fundacion Clinic per a la Recerca Biomédica,OTHER,ARI0003,"Adult autologous differentiated T-cells from peripheral blood, expanded and co-transduced lentiviruses: one containing a chimeric antigen receptor anti-CD19 and another containing an anti-CD269 (BCMA)",7,Spain,True,2026-09-07
NCT06068400,TERMINATED,2023-09-21,NA,"Guangzhou Bio-gene Technology Co., Ltd",INDUSTRY,BCMA/GPRC5D dual CAR-T,,1,China,False,2026-09-07
NCT06153095,WITHDRAWN,2024-02-15,PHASE1|PHASE2,"Lyell Immunopharma, Inc.",INDUSTRY,IMPT-514|IMPT-514|IMPT-514,||,4,Australia|United States,True,2026-09-07
NCT06144385,UNKNOWN,2022-03-24,PHASE1,"Shanghai Ming Ju Biotechnology Co., Ltd.",INDUSTRY,CAR-GPC3 T cells,JWCAR204,1,China,False,2026-09-07
NCT06167785,RECRUITING,2025-06-04,PHASE2,"University Health Network, Toronto",OTHER,Tislelizumab|Zanubrutinib|Tislelizumab + Zanubrutinib,||,1,Canada,False,2026-09-07
NCT06101082,RECRUITING,2024-01-16,PHASE1,"China Medical University, China",OTHER,Intravenous infusion anti-HER2-CAR-T cell,fludarabine;cyclophosphamide,1,China,False,2026-09-07
NCT06101381,RECRUITING,2024-03-21,PHASE1|PHASE2,University of Sao Paulo,OTHER,CART-19,,5,Brazil,False,2026-09-07
NCT06152172,ACTIVE_NOT_RECRUITING,2024-08-05,PHASE1,David Porter,OTHER,KYV-101|Cyclophosphamide|Fludarabine,||,1,United States,True,2026-09-07
NCT06128629,RECRUITING,2023-12-13,PHASE3,Intellia Therapeutics,INDUSTRY,NTLA-2001|Placebo,|,132,Argentina|Australia|Austria|Belgium|Brazil|Canada|Czechia|Denmark|France|Germany|Hungary|Israel|Italy|Japan|Mexico|Netherlands|New Zealand|Norway|Portugal|Singapore|South Korea|Spain|Sweden|Taiwan|United Kingdom|United States,True,2026-09-07
NCT06221553,RECRUITING,2024-03-01,PHASE1,Chulalongkorn University,OTHER,B7H3 specific CAR T cell with IL-7Ra signaling domain,,1,Thailand,False,2026-09-07
NCT06073951,COMPLETED,2024-03-11,NA,Mayo Clinic,OTHER,Best Practice|Exercise Counseling|Exercise Intervention|Medical Device Usage and Evaluation|Medical Device Usage and Evaluation|Physical Performance Testing|Questionnaire Administration,standard of care;standard therapy|||||Physical Fitness Testing;Physical Function Testing|,1,United States,True,2026-09-07
NCT06066346,RECRUITING,2023-09-27,PHASE2,Memorial Sloan Kettering Cancer Center,OTHER,Talquetamab,,7,United States,True,2026-09-07
NCT06158139,RECRUITING,2024-07-18,PHASE1,UNC Lineberger Comprehensive Cancer Center,OTHER,iC9-CAR.B7-H3 T cell infusion,Cellular Therapy,1,United States,True,2026-09-07
NCT06204991,RECRUITING,2025-04-01,PHASE1,Inge Marie Svane,OTHER,ADP-TILIL7|Cyclophosphamide|Fludarabine Phosphate|Proleukin,|||,2,Denmark,True,2026-09-07
NCT06084962,RECRUITING,2023-10-20,PHASE1,He Huang,OTHER,DeepTag-GPRC5D Targeted CAR T-cells,DeepTag-GPRC5D Targeted CAR T-cells injection,1,China,False,2026-09-07
NCT06149169,UNKNOWN,2023-08-17,PHASE2,"Shanghai Ming Ju Biotechnology Co., Ltd.",INDUSTRY,CD19-targeted Chimeric Antigen Receptor(CAR) T Cells,,1,China,False,2026-09-07
NCT06193889,RECRUITING,2024-08-28,PHASE2|PHASE3,Kyverna Therapeutics,INDUSTRY,Standard of Care Treatment|Standard lymphodepletion regimen|KYV-101,|Cyclophosphamide;Fludarabine|,22,Australia|Brazil|Germany|Saudi Arabia|United Kingdom|United States,True,2026-09-07
NCT06110208,TERMINATED,2023-10-10,EARLY_PHASE1,920th Hospital of Joint Logistics Support Force of People's Liberation Army of China,OTHER,CLL1 and CD38 dual-target CAR-T injection,,1,China,False,2026-09-07
NCT06128044,TERMINATED,2024-02-08,PHASE1,"Caribou Biosciences, Inc.",INDUSTRY,CB-012,Cyclophosphamide;Fludarabine,10,United States,True,2026-09-07
NCT06167590,UNKNOWN,2022-07-15,NA,"Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico",OTHER,GAPsy protocol,,1,Italy,True,2026-09-07
NCT06084286,RECRUITING,2024-01-01,PHASE1,Sichuan University,OTHER,Dual-targeting CLDN18.2 and PD-L1 CAR-T cells,,1,China,False,2026-09-07
NCT06191887,RECRUITING,2024-03-18,PHASE1,Mayo Clinic,OTHER,Autologous BAFFR-targeting CAR T Cells|Bendamustine|Biopsy|Biospecimen Collection|Bone Marrow Aspiration and Biopsy|Computed Tomography|Cyclophosphamide|Echocardiography|Fludarabine|Leukapheresis|Magnetic Resonance Imaging|Positron Emission Tomography,"Autologous BAFFR-CAR T Cells;Autologous BAFFR-CAR-expressing T-cells|SDX-105|BIOPSY_TYPE;Bx|Biological Sample Collection;Biospecimen Collected;Specimen Collection||CAT;CAT Scan;Computed Axial Tomography;Computerized Axial Tomography;Computerized axial tomography (procedure);Computerized Tomography;CT;CT Scan;tomography|(-)-Cyclophosphamide;2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate;Asta B 518;B-518;Carloxan;Ciclofosfamida;Ciclofosfamide;Cicloxal;Clafen;Claphene;CP monohydrate;CTX;CYCLO-cell;Cycloblastin;Cycloblastine;Cyclophospham;Cyclophosphamid monohydrate;Cyclophosphamide Monohydrate;Cyclophosphamidum;Cyclophosphan;Cyclophosphane;Cyclophosphanum;Cyclostin;Cyclostine;Cytophosphan;Cytophosphane;Cytoxan;Fosfaseron;Genoxal;Genuxal;Ledoxina;Mitoxan;Neosar;Revimmune;Syklofosfamid;WR- 138719;WR-138719|EC|Fluradosa|Leukocytopheresis;Therapeutic Leukopheresis|Magnetic Resonance;Magnetic resonance imaging (procedure);Magnetic Resonance Imaging Scan;Medical Imaging, Magnetic Resonance / Nuclear Magnetic Resonance;MR;MR Imaging;MRI;MRI Scan;MRIs;NMR Imaging;NMRI;Nuclear Magnetic Resonance Imaging;sMRI;Structural MRI|Medical Imaging, Positron Emission Tomography;PET;PET Scan;Positron emission tomography (procedure);Positron Emission Tomography Scan;Positron-Emission Tomography;proton magnetic resonance spectroscopic imaging;PT",1,United States,True,2026-09-07
NCT06153251,RECRUITING,2024-01-23,PHASE1,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",INDUSTRY,BMS-986453|Fludarabine|Cyclophosphamide,|FludAra;Oforta|Cytoxan;Cytoxan Lyophilized;Neosar,19,France|Germany|Spain|United States,True,2026-09-07
NCT06219239,RECRUITING,2024-01-04,NA,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,KL003 cell injection Drug Product,,1,China,False,2026-09-07
NCT06179888,SUSPENDED,2024-08-27,PHASE2,National Cancer Institute (NCI),NIH,Biospecimen Collection|Bone Marrow Aspiration|Bone Marrow Biopsy|Computed Tomography|Iberdomide|Magnetic Resonance Imaging|Patient Monitoring|Positron Emission Tomography|Skeletal Survey X-Ray,"Biological Sample Collection;Biospecimen Collected;Sample Collection;Specimen Collection||Biopsy of Bone Marrow;Biopsy, Bone Marrow|CAT;CAT Scan;Computed Axial Tomography;Computerized Axial Tomography;Computerized axial tomography (procedure);Computerized Tomography;Computerized Tomography (CT) scan;CT;CT Scan;Diagnostic CAT Scan;Diagnostic CAT Scan Service Type;tomography|CC 220;CC-220|Magnetic Resonance;Magnetic Resonance Imaging (MRI);Magnetic resonance imaging (procedure);Magnetic Resonance Imaging Scan;Medical Imaging, Magnetic Resonance / Nuclear Magnetic Resonance;MR;MR Imaging;MRI;MRI Scan;MRIs;NMR Imaging;NMRI;Nuclear Magnetic Resonance Imaging;sMRI;Structural MRI|medical monitoring;monitor|Medical Imaging, Positron Emission Tomography;PET;PET Scan;Positron emission tomography (procedure);Positron Emission Tomography Scan;Positron-Emission Tomography;PT|Skeletal Survey",74,United States,True,2026-09-07
NCT06205524,UNKNOWN,2023-07-10,PHASE1,National Drug Clinical Trial Institute of the Second Affiliated Hospital of Bengbu Medical College,OTHER,TI-0010|Placebo,|,1,China,False,2026-09-07
NCT06125756,UNKNOWN,2023-12-20,EARLY_PHASE1,Affiliated Hospital of Guangdong Medical University,OTHER,Low dose KL001|Middle dose KL001|High dose KL001,rAAV vector|rAAV vector|rAAV vector,0,,False,2026-09-07
NCT06208735,RECRUITING,2025-01-02,PHASE1,British Columbia Cancer Agency,OTHER,CLIC-2201,Autologous CD22 targeting CAR-T cells,7,Canada,False,2026-09-07
NCT06096038,RECRUITING,2024-04-05,PHASE1,UNC Lineberger Comprehensive Cancer Center,OTHER,Cyclophosphamide|Fludarabine|Cell Therapy,Cycloblastin;Cytoxan;Endoxan;Neosar;Procytox;Revimmune|Fludara;Fludarabine Phosphate|,1,United States,True,2026-09-07
NCT06090864,RECRUITING,2024-04-25,PHASE1|PHASE2,UNC Lineberger Comprehensive Cancer Center,OTHER,Chemotherapy|Cell infusion,|,1,United States,True,2026-09-07
NCT06093841,ACTIVE_NOT_RECRUITING,2023-11-03,PHASE2,"Shanghai Ming Ju Biotechnology Co., Ltd.",INDUSTRY,Relmacabtagene Autoleucel|Fludarabine|Cyclophosphamide,JWCAR029||,13,China,False,2026-09-07
NCT06212154,UNKNOWN,2024-01-20,PHASE1,"Institute of Hematology & Blood Diseases Hospital, China",OTHER,ThisCART19A,Allogeneic CAR-T targeting CD19,1,China,False,2026-09-07
NCT06149403,ACTIVE_NOT_RECRUITING,2023-12-11,PHASE3,Orchard Therapeutics,INDUSTRY,Experimental: OTL-203|Active Comparator: Allo-HSCT,|,5,Italy|Netherlands|United Kingdom|United States,True,2026-09-07
NCT06064903,RECRUITING,2024-04-21,PHASE1|PHASE2,Bambino Gesù Hospital and Research Institute,OTHER,CD7-CART01,,1,Italy,True,2026-09-07
NCT06097832,ACTIVE_NOT_RECRUITING,2024-06-05,PHASE1|PHASE2,Nexcella Inc.,INDUSTRY,NXC-201 CAR-T,HBI0101 CAR-T,18,United States,True,2026-09-07
NCT06112275,ACTIVE_NOT_RECRUITING,2024-02-28,PHASE1|PHASE2,Encoded Therapeutics,INDUSTRY,ETX101,,1,Australia,False,2026-09-07
NCT06094842,WITHDRAWN,2025-04-15,PHASE1,Fred Hutchinson Cancer Center,OTHER,Bendamustine|Biopsy|Biospecimen Collection|Bone Scan|Bridge Therapy|Computed Tomography|Cyclophosphamide|Echocardiography|Fludarabine|Leukapheresis|Multigated Acquisition Scan|T-cell Receptor-engineered T-cells|X-Ray Imaging,"SDX-105|BIOPSY_TYPE;Bx|Biological Sample Collection;Biospecimen Collected;Specimen Collection|Bone Scintigraphy||CAT;CAT Scan;Computed Axial Tomography;Computerized Axial Tomography;Computerized axial tomography (procedure);Computerized Tomography;CT;CT Scan;tomography|(-)-Cyclophosphamide;2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate;Asta B 518;B-518;Carloxan;Ciclofosfamida;Ciclofosfamide;Cicloxal;Clafen;Claphene;CP monohydrate;CTX;CYCLO-cell;Cycloblastin;Cycloblastine;Cyclophospham;Cyclophosphamid monohydrate;Cyclophosphamide Monohydrate;Cyclophosphamidum;Cyclophosphan;Cyclophosphane;Cyclophosphanum;Cyclostin;Cyclostine;Cytophosphan;Cytophosphane;Cytoxan;Fosfaseron;Genoxal;Genuxal;Ledoxina;Mitoxan;Neosar;Revimmune;Syklofosfamid;WR- 138719;WR-138719|EC|Fluradosa|Leukocytopheresis;Therapeutic Leukopheresis|Blood Pool Scan;Equilibrium Radionuclide Angiography;Gated Blood Pool Imaging;Gated Heart Pool Scan;MUGA;MUGA Scan;Multi-Gated Acquisition Scan;Radionuclide Ventriculogram Scan;Radionuclide Ventriculography;RNVG;SYMA Scanning;Synchronized Multigated Acquisition Scanning|T-cell Receptor-engineered T Cells;T-cell Receptor-engineered T-lymphocytes;TCR T Cells;TCR T-cells;TCR-engineered T-cells;TCR-modified T Cells|Conventional X-Ray;Diagnostic Radiology;Medical Imaging, X-Ray;Plain film radiographs;Radiographic Imaging;Radiographic imaging procedure (procedure);Radiography;RG;Static X-Ray;X-Ray",1,United States,True,2026-09-07
NCT06178432,NOT_YET_RECRUITING,2023-12,EARLY_PHASE1,Huashan Hospital,OTHER,CRG003 injection,BBM-G102 injection,1,China,False,2026-09-07
NCT06084884,ACTIVE_NOT_RECRUITING,2023-12-14,PHASE1|PHASE2,AstraZeneca,INDUSTRY,AZD5851,Cell Therapy,19,Japan|South Korea|United States,True,2026-09-07
NCT06198296,RECRUITING,2025-06-10,PHASE1,Baylor College of Medicine,OTHER,21.15.GPC3-CAR T cells,,1,United States,True,2026-09-07
NCT06193902,RECRUITING,2023-11-13,PHASE1|PHASE2,Leucid Bio,INDUSTRY,LEU011,,2,United Kingdom,True,2026-09-07
NCT06087341,RECRUITING,2024-01-10,PHASE1,Antonio Pérez Martínez,OTHER,NKG2D-CAR memory T cell,,1,Spain,True,2026-09-07
NCT06134960,NOT_YET_RECRUITING,2023-11-16,PHASE1,Peking University,OTHER,KD-496,,1,China,False,2026-09-07
NCT06092034,RECRUITING,2023-09-05,PHASE2,Rocket Pharmaceuticals Inc.,INDUSTRY,RP-A501,,6,Germany|Italy|United Kingdom|United States,True,2026-09-07
NCT06118788,RECRUITING,2024-03-07,PHASE1|PHASE2,"Guangzhou Bio-gene Technology Co., Ltd",INDUSTRY,BG1805,,3,China,False,2026-09-07
NCT06069687,ACTIVE_NOT_RECRUITING,2022-03-11,PHASE1,The Hospital for Sick Children,OTHER,MELPIDA,,1,Canada,False,2026-09-07
NCT06154252,RECRUITING,2023-12-20,PHASE2|PHASE3,Cabaletta Bio,INDUSTRY,CABA-201 following preconditioning with fludarabine and cyclophosphamide,Rese-cel;Resecabtagene autoleucel,35,United Kingdom|United States,True,2026-09-07
NCT06179524,RECRUITING,2024-01-03,PHASE2,Beijing Yongtai Ruike Biotechnology Company Ltd,INDUSTRY,CAR-T-19 cell injection,,1,China,False,2026-09-07
NCT06072989,RECRUITING,2023-10,PHASE1,Shanghai East Hospital,OTHER,B4T2-001 autologous CAR-T,,2,China,False,2026-09-07
NCT06078306,UNKNOWN,2024-04-20,PHASE2,The First Affiliated Hospital of Soochow University,OTHER,Azacitidine Injection|Venetoclax|CD19CD22 CAR-T,Azacitidine|ABT-199|GDC-0199,1,China,False,2026-09-07
NCT06126406,RECRUITING,2023-11-06,PHASE1,"Chongqing Precision Biotech Co., Ltd",INDUSTRY,CEA-targeted CAR-T cells|CEA-targeted CAR-T cells,|,1,China,False,2026-09-07
NCT06196658,NOT_YET_RECRUITING,2024-01-01,EARLY_PHASE1,"Zhang Xiaofeng,MD",OTHER,anti-EX02 CAR T cells,,0,,False,2026-09-07
NCT06196255,RECRUITING,2023-12-25,PHASE1|PHASE2,Xuzhou Medical University,OTHER,anti-FcRL5 CAR-T,,1,China,False,2026-09-07
NCT06182696,RECRUITING,2023-10-26,PHASE1|PHASE2,"OriCell Therapeutics Co., Ltd.",INDUSTRY,OriCAR-017,,5,China,False,2026-09-07
NCT06092047,RECRUITING,2023-10-01,EARLY_PHASE1,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",INDUSTRY,UTAA09 cells for infusion|Fludarabine|Cyclophosphamide,||,1,China,False,2026-09-07
NCT06069544,COMPLETED,2023-11-13,PHASE1|PHASE2,BioNTech SE,INDUSTRY,BNT165c|BNT165d|Placebo,||,5,United States,True,2026-09-07
NCT06164730,RECRUITING,2024-04-30,PHASE1,"Verve Therapeutics, Inc.",INDUSTRY,VERVE-102,,27,Australia|Canada|Israel|New Zealand|United Kingdom|United States,True,2026-09-07
NCT06197672,RECRUITING,2024-03-19,PHASE1,Huda Salman,OTHER,CD4CAR,,4,United States,True,2026-09-07
NCT06100276,ACTIVE_NOT_RECRUITING,2024-08-01,PHASE1|PHASE2,UniQure Biopharma B.V.,INDUSTRY,AMT-162,,12,Sweden|United States,True,2026-09-07
NCT06065189,COMPLETED,2023-11-07,EARLY_PHASE1,Children's Hospital of Fudan University,OTHER,CS-101 injection,,1,China,False,2026-09-07
NCT06176690,RECRUITING,2025-10-27,PHASE1,Baylor College of Medicine,OTHER,C7R.CD30.CAR-EBVST cells,Allogeneic CR7.CD30 Chimeric Antigen Receptor Epstein-Barr Virus-Specific T Lymphocytes,2,United States,True,2026-09-07
NCT06150651,COMPLETED,2023-12-01,PHASE1,Chulalongkorn University,OTHER,PiggyBac Transposon-Mediated CD19 CAR-T Therapy,,1,Thailand,False,2026-09-07
NCT06199531,ACTIVE_NOT_RECRUITING,2024-02-13,PHASE3,"Grace Science, LLC",INDUSTRY,GS-100,,2,United States,True,2026-09-07
NCT06196294,RECRUITING,2024-05-10,PHASE1,Second Affiliated Hospital of Guangzhou Medical University,OTHER,Cell therapy for solid tumors,,1,China,False,2026-09-07
NCT06121297,RECRUITING,2024-02-16,PHASE1|PHASE2,Cabaletta Bio,INDUSTRY,CABA-201|CABA-201,|,23,Canada|Spain|United States,True,2026-09-07
NCT06132711,RECRUITING,2023-11-10,PHASE1|PHASE2,Xuzhou Medical University,OTHER,APRIL-BAFF-Bicephali CAR-T cells,,1,China,False,2026-09-07
NCT06125652,RECRUITING,2023-11-04,PHASE1|PHASE2,Xuzhou Medical University,OTHER,anti Tim-3/CD123 CAR-T cell therapy,,1,China,False,2026-09-07
NCT06220201,ACTIVE_NOT_RECRUITING,2024-03-28,PHASE1,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",INDUSTRY,CC-97540|Fludarabine|Cyclophosphamide,BMS-986353||,34,Belgium|France|Germany|Spain|United Kingdom|United States,True,2026-09-07
NCT06189157,RECRUITING,2024-08-12,PHASE1|PHASE2,Miltenyi Biomedicine GmbH,INDUSTRY,MB-CART19.1,CD19-targeting CAR T cells;Anti-CD19 CAR T cells,3,Germany,True,2026-09-07
NCT06207552,RECRUITING,2024-02-20,EARLY_PHASE1,Children's Hospital of Fudan University,OTHER,BBM-F101 injection,,1,China,False,2026-09-07
NCT06111638,RECRUITING,2024-01-03,PHASE2|PHASE3,"Shanghai Xinzhi BioMed Co., Ltd.",INDUSTRY,Single dose intravenous injection of BBM-H803,,10,China,False,2026-09-07
NCT06213636,RECRUITING,2024-07-10,PHASE1|PHASE2,Essen Biotech,OTHER,CD19/CD22-CAR T cells,EB-BH2024,1,China,False,2026-09-07
NCT06114056,ACTIVE_NOT_RECRUITING,2024-01-31,PHASE1,West China Hospital,OTHER,JWK007 Single intravenous infusion administration,,1,China,False,2026-09-07
NCT06186401,RECRUITING,2024-04-30,PHASE1,"Hideho Okada, MD, PhD",OTHER,E-SYNC T Cells|Cyclophosphamide (non-investigational)|Fludarabine (non-investigational)|Leukapheresis|Surgical resection,Anti-EGFRvIII synNotch Receptor Induced Anti-EphA2/IL-13R alpha2 CAR T Cells;Autologous Anti-EGFRvIII synNotch Receptor Induced Anti-EphA2/IL-13R alpha2 CAR T Cells;Autologous Anti-EGFRvIII synNotch Receptor Induced Anti-EphA2/IL-13Ra2 CAR T Cells|Cytoxan;Cytoxan Lyophilized;Neosar|Fludara;Oforta|Therapeutic Leukopheresis|Resection,1,United States,True,2026-09-07
NCT06150820,ACTIVE_NOT_RECRUITING,2024-02-01,NA,Astellas Gene Therapies,INDUSTRY,No Intervention,,53,Australia|Brazil|Canada|France|Germany|Italy|Japan|Spain|Taiwan|United Kingdom|United States,True,2026-09-07
NCT06071871,RECRUITING,2024-08-16,PHASE2,"University College, London",OTHER,Glofitamab|Polatuzumab vedotin|Obinutuzumab,Columvi|Polivy|Gazyvaro,5,United Kingdom,True,2026-09-07
NCT06209671,UNKNOWN,2024-01-15,PHASE1,"Beijing Immunochina Medical Science & Technology Co., Ltd.",INDUSTRY,INS19 CAR-T Cells,,0,,False,2026-09-07
NCT06106906,RECRUITING,2024-06-19,PHASE1|PHASE2,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,CD19 CAR-T cell infusion,,1,China,False,2026-09-07
NCT06220097,ACTIVE_NOT_RECRUITING,2022-02-01,PHASE2,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",OTHER,Mitoxantrone hydrochloride liposome Injection-based bridging therapy+ Fludarabine-based chemotherapy +CD19 CAR-T Cells,,1,China,False,2026-09-07
NCT06138132,RECRUITING,2024-04-10,PHASE1,Stanford University,OTHER,KYV-101 anti-CD19 CAR-T cell therapy|Standard lymphodepletion regimen,|Bendamustine,1,United States,True,2026-09-07
NCT06209619,RECRUITING,2024-01-29,PHASE1,Nathan Denlinger,OTHER,Biopsy|Biospecimen Collection|Computed Tomography|Golcadomide|Positron Emission Tomography|Rituximab,"BIOPSY_TYPE;Bx|Biological Sample Collection;Biospecimen Collected;Specimen Collection|CAT;CAT Scan;Computed Axial Tomography;Computerized Axial Tomography;Computerized axial tomography (procedure);Computerized Tomography;CT;CT Scan;tomography|BMS 986369;BMS-986369;BMS986369;CC -99282;CC 99282;CC99282;CelMod CC-99282;Cereblon E3 Ubiquitin Ligase Modulating Agent CC-99282;Cereblon E3 Ubiquitin Ligase Modulating Drug CC-99282;Cereblon Modulator CC-99282|Medical Imaging, Positron Emission Tomography;PET;PET Scan;Positron emission tomography (procedure);Positron Emission Tomography Scan;Positron-Emission Tomography;proton magnetic resonance spectroscopic imaging;PT|ABP 798;BI 695500;C2B8 Monoclonal Antibody;Chimeric Anti-CD20 Antibody;CT-P10;IDEC-102;IDEC-C2B8;IDEC-C2B8 Monoclonal Antibody;Ikgdar;Mabtas;MabThera;Monoclonal Antibody IDEC-C2B8;PF-05280586;Riabni;Rituxan;Rituximab ABBS;Rituximab ARRX;Rituximab Biosimilar ABP 798;Rituximab Biosimilar BI 695500;Rituximab Biosimilar CT-P10;Rituximab Biosimilar GB241;Rituximab Biosimilar IBI301;Rituximab Biosimilar JHL1101;Rituximab Biosimilar PF-05280586;Rituximab Biosimilar RTXM83;Rituximab Biosimilar SAIT101;Rituximab Biosimilar SIBP-02;rituximab biosimilar TQB2303;Rituximab PVVR;Rituximab-abbs;Rituximab-arrx;Rituximab-pvvr;RTXM83;Ruxience;Truxima",1,United States,True,2026-09-07
NCT06173518,RECRUITING,2023-11-16,PHASE1,Autolus Limited,INDUSTRY,AUTO1,Obecabtagene autoleucel (obe-cel),8,Spain|United Kingdom|United States,True,2026-09-07
NCT06217861,RECRUITING,2024-04-29,PHASE1,"Shanghai Vitalgen BioPharma Co., Ltd.",INDUSTRY,VGM-R02b,rAAV9-GCDH,1,China,False,2026-09-07
NCT06080191,RECRUITING,2024-04-28,PHASE1,Bambino Gesù Hospital and Research Institute,OTHER,CD19-CAR_Lenti_ALLO,,1,Italy,True,2026-09-07
NCT06180174,RECRUITING,2023-12-31,PHASE1,"Chongqing Precision Biotech Co., Ltd",INDUSTRY,MC-1-50,,1,China,False,2026-09-07
NCT06066008,COMPLETED,2022-09-25,EARLY_PHASE1,Zhongmou Therapeutics,INDUSTRY,ZM-01-L|ZM-01-H,rAAV-hRS1|rAAV-hRS1,1,China,False,2026-09-07
NCT06125847,RECRUITING,2023-10-29,EARLY_PHASE1,First Affiliated Hospital Xi'an Jiaotong University,OTHER,NGGT006,,1,China,False,2026-09-07
NCT06185751,RECRUITING,2024-08-22,PHASE1,Washington University School of Medicine,OTHER,WS-CART-CS1|Lymphodepleting chemotherapy,|,1,United States,True,2026-09-07
NCT06144606,RECRUITING,2023-12-26,PHASE2,H. Lee Moffitt Cancer Center and Research Institute,OTHER,Tecartus,Brexucabtagene autoleucel;KTE-X19,1,United States,True,2026-09-07
NCT06120166,RECRUITING,2023-11-16,EARLY_PHASE1,He Huang,OTHER,Metabolically Armed CD19 CAR-T cells,Meta10-19,1,China,False,2026-09-07
NCT06228404,ACTIVE_NOT_RECRUITING,2024-03-03,EARLY_PHASE1,Shanghai Changzheng Hospital,OTHER,Enhanced autologous PSMA-CAR T,,1,China,False,2026-09-07
NCT06248086,TERMINATED,2024-09-06,PHASE1,"Astellas Pharma Global Development, Inc.",INDUSTRY,ASP2802|MA-20,MACT|ASP101G;MicAbody,1,Australia,False,2026-09-07
NCT06242249,UNKNOWN,2024-04-30,PHASE1|PHASE2,Shahid Beheshti University of Medical Sciences,OTHER,Anti-BCMA CAR-NK,,1,Iran,False,2026-09-07
NCT06327997,RECRUITING,2024-03-07,EARLY_PHASE1,"Shanghai Cell Therapy Group Co.,Ltd",INDUSTRY,Fast CAR T cells,,1,China,False,2026-09-07
NCT06279923,RECRUITING,2024-04-15,EARLY_PHASE1,Zhejiang University,OTHER,CD19-BAFF Targeted CAR T-cells,CD19-BAFF Targeted CAR T-cells injection,1,China,False,2026-09-07
NCT06345027,NOT_YET_RECRUITING,2026-02,PHASE1,Baylor College of Medicine,OTHER,Treatment Arm A,,2,United States,True,2026-09-07
NCT06287528,RECRUITING,2024-02-23,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,19-28z/IL-18 CAR T cells,,7,United States,True,2026-09-07
NCT06316856,RECRUITING,2024-06-18,PHASE1|PHASE2,Beijing GoBroad Hospital,OTHER,Autologous CD5 CAR T-cells|Previous stem-cell transplantation (SCT) donor-derived CD5 CAR T-cells|Newly matched donor-derived CD5 CAR T-cells,||,4,China,False,2026-09-07
NCT06346912,RECRUITING,2024-05-30,EARLY_PHASE1,Zhejiang University,OTHER,CD19-BAFF Targeted CAR T-cells,CD19-BAFF Targeted CAR T-cells injection,1,China,False,2026-09-07
NCT06228924,RECRUITING,2024-03-26,PHASE1,Tenaya Therapeutics,INDUSTRY,TN-401,,7,United States,True,2026-09-07
NCT06287086,UNKNOWN,2024-06-14,NA,Bioray Laboratories,INDUSTRY,BRL-101 autologous hematopoietic stem and progenitor cells injection,BRL-101,0,,False,2026-09-07
NCT06249256,RECRUITING,2023-06-01,EARLY_PHASE1,"Shanghai Cell Therapy Group Co.,Ltd",INDUSTRY,Fast CAR T cells,,1,China,False,2026-09-07
NCT06287099,UNKNOWN,2024-04-20,NA,Bioray Laboratories,INDUSTRY,BRL-101,Autologous hematopoietic stem and progenitor cells injection,0,,False,2026-09-07
NCT06333483,ACTIVE_NOT_RECRUITING,2024-02-02,PHASE1,Autolus Limited,INDUSTRY,Obecabtagene autoleucel (obe-cel),,6,Spain|United Kingdom,True,2026-09-07
NCT06326021,RECRUITING,2024-04-02,PHASE1,Beijing GoBroad Hospital,OTHER,autologous FL-33 CAR T therapy|prior-HSCT donor-derived FL-33 CAR T therapy|Newly matched donor-derived FL-33 CAR T therapy|FL33-03 CAR-T therapy,|||,4,China,False,2026-09-07
NCT06224660,RECRUITING,2024-10-02,PHASE1,Sardocor Corp.,INDUSTRY,SRD-001,AAV1/SSERCA2a,3,United States,True,2026-09-07
NCT06249438,RECRUITING,2024-03-20,PHASE1,RenJi Hospital,OTHER,CD20/BCMA-directed CAR-T cells,C-CAR168,1,China,False,2026-09-07
NCT06235229,RECRUITING,2023-12-26,PHASE1|PHASE2,"Gracell Biotechnologies (Shanghai) Co., Ltd.",INDUSTRY,GC012F,,10,China,False,2026-09-07
NCT06343090,RECRUITING,2024-04-12,NA,Beijing GoBroad Hospital,OTHER,CD19 CAR T-cell|CD22 CAR T cells|hematopoietic stem-cell transplantation,||,1,China,False,2026-09-07
NCT06350110,RECRUITING,2024-07-10,PHASE1|PHASE2,Essen Biotech,OTHER,CD19- BCMA CAR-T cells,EB-BH2024-2,1,China,False,2026-09-07
