metric,technology_class,phase_from,phase_to,value,unit,n_programs,period_covered,comparator_value,comparator_label,verbatim,source_url,status,notes
program_count,haematological CAR-T/TCR therapy,Approval,Full Approval,7,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Full Approval' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Approval,Accelerated Approval (AAP),2,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Accelerated Approval (AAP)' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Approval,Accelerated Approval (AAP),3,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Accelerated Approval (AAP)' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Approval,AAP with subsequent full approval,1,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'AAP with subsequent full approval' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Approval,AAP with subsequent full approval,0,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Approval: Approval 12 / 10; Full Approval 10 / 7; Accelerated Approval (AAP) 2 / 3; AAP with subsequent full approval 1 / 0 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'AAP with subsequent full approval' at Approval. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
other,rare disease gene therapy,Phase I/II,,67,percent of programmes starting in Phase I/II,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),30,haematological CAR-T programmes starting in Phase I/II,"For example, 67% of orphan gene therapy trials start in Phase I/II. Haematological CAR-Ts start in Phase I/II in 30% of programs.",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Explains why Phase I/II is pooled with Phase II (and II/III with III) in the rate calculation, mirroring BIO and IQVIA grouping."
other,haematological CAR-T/TCR therapy,Phase I/II,,30,percent of programmes starting in Phase I/II,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),67,orphan gene therapy programmes starting in Phase I/II,Haematological CAR-Ts start in Phase I/II in 30% of programs.,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Supplementary p.2.
other,durable CGT,,,18,months (minimum durable clinical benefit for inclusion),,,,,We broadly apply the FDA Center for Biologics Evaluation and Research (CBER) definition for gene therapy products with the further criteria that the products are expected to produce a durable clinical benefit of at least 18 months.,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Inclusion criterion defining 'durable'; not a phase duration.
other,durable CGT,,,11,years (window after phase completion before non-progression counts as failure),,,,,"Failures are trials with phases that start, complete, and then do not progress to new phases within eleven years or are publicly announced as a discontinued indication or program.",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Censoring rule; relevant to how the project defines clinical-stage durations.
other,durable CGT (PAM dataset),,,35,years of trial data (1988-2023),,1988-2023,,,PAM: Data Sources ClinicalTrials.gov; Trial Data Date Range 1988-2023 (35 years),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.3 table 'Summary of industry and academic references with published clinical drug development success rates estimates'. Trials first identified by therapeutic class and modality in Citeline PharmaProjects, then confirmed in ClinicalTrials.gov (NLP plus manual extraction)."
other,all therapeutic areas (BIO),,,9.9,years of trial data (Jan 2011-Nov 2020),,Jan 2011-Nov 2020,,,BIO: Data Sources Biomedtracker by Informa Pharma Intelligence; Trial Data Date Range Jan 2011- Nov 2020 (9.9 years),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Supplementary p.3 table.
other,all therapeutic areas (IQVIA),,,14,years of trial data (2010-2023),,2010-2023,,,IQVIA: Data Sources IQVIA Pipeline Intelligence; Trial Data Date Range 2010-2023 (14 years),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Supplementary p.3 table; the authors note IQVIA shares the same 2023 cut-off as PAM.
other,"all drugs (Wong et al. 2019, academic)",,,16,years of trial data (2000-2015),,2000-2015,,,Wong: Data Sources TrialTrove and PharmaProjects by Citeline; Trial Data Date Range 2000-2015 (16 years),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Listed in the supplementary p.3 table but not used for comparison because it ends before 2020.
other,"all drugs (DiMasi 2010, academic)",,,17,years of trial data (1993-2009),,1993-2009,,,DiMasi: Data Sources 50 biopharma; Trial Data Date Range 1993-2009 (17 years),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Listed in the supplementary p.3 table; not used for comparison.
other,"all drugs (Yamaguchi 2021, academic)",,,18.5,years of trial data (2000-June 2019),,2000-June 2019,,,Yamaguchi: Data Sources PharmaProjects; Trial Data Date Range 2000- June 2019 (18.5 years),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Listed in the supplementary p.3 table; the authors state no published academic research uses clinical trial success rates as an endpoint beyond 2019.
program_count,durable CGT (FDA-approved label indications),,,30,approved label indications (as of December 2024),,2017-December 2024,0,approved dCGT label indications before 2017,"Since 2017, the number of label indications for dCGTs approved by the FDA has risen from none to 30 (as of December 2024).",https://www.nature.com/articles/d41573-025-00036-8,provisional-from-snippet,Sentence seen in a search-engine snippet of the paywalled main article; the NEWDIGS announcement page (25 March 2025) independently says 'As FDA-approved dCGTs grow from 0 to 30 since 2017'. Not read at the Nature URL itself.
other,durable CGT,Phase III + Phase II/III,NDA/BLA application,68,percent (lower bound of the range '68-75%' quoted for late-phase dCGT success),,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"In Phase 3 and phase 2/3 clinical trials, dCGT programs showed relatively greater success (68-75%) compared with all therapeutic benchmarks.",https://www.nature.com/articles/d41573-025-00036-8,provisional-from-snippet,Range seen in a search-engine snippet of the main article; it corresponds to the verified supplementary values 68.4% (rare disease gene therapy) and 75.0% (haematological CAR-T/TCR).
likelihood_of_approval,"orphan gene therapy [NEWDIGS 2023 brief, 1988-2020 cut; not S06]",Phase I,Approval,27.6,percent,,1988-2020,7.9,"BIO all modalities LOA 2011-2020 (IQVIA all modalities 13.2%, 2010-2022)",CGTs for orphan gene therapies (27.6% LoA) are 2 to 3.5 times as likely to be approved when they enter Phase I clinical development as the average drug (BIO 7.9% LoA; IQVIA 13.2% LoA; Figure 2).,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2023/10/NEWDIGS-Success-Rate-Comparison-2023F210v056.pdf,verified-from-source,"NOT S06: predecessor NEWDIGS FoCUS Research Brief 2023F210v056 'Are Cell and Gene Therapy programs a better bet?' (9 October 2023; PAM trials 1988-end 2020; funded by the FoCUS consortium and the Alliance for Regenerative Medicine). Recorded because news coverage (CGTlive 11 Oct 2023, NEWDIGS press release 11 Oct 2023) quotes these older figures and they differ from the 2025 article. No phase durations reported in the brief either."
likelihood_of_approval,"haematological CAR-T/TCR therapy [NEWDIGS 2023 brief, 1988-2020 cut; not S06]",Phase I,Approval,17.2,percent,,1988-2020,5.3,BIO all oncology LOA 2011-2020,CAR-T/TCR therapies for hematological oncology (17.2% LoA) are 3.2 times as likely to be approved when entering Phase I compared to the average oncology drug (5.3% LoA; Figure 1 left panel).,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2023/10/NEWDIGS-Success-Rate-Comparison-2023F210v056.pdf,verified-from-source,"NOT S06: predecessor NEWDIGS FoCUS Research Brief 2023F210v056 'Are Cell and Gene Therapy programs a better bet?' (9 October 2023; PAM trials 1988-end 2020; funded by the FoCUS consortium and the Alliance for Regenerative Medicine). Recorded because news coverage (CGTlive 11 Oct 2023, NEWDIGS press release 11 Oct 2023) quotes these older figures and they differ from the 2025 article. No phase durations reported in the brief either. The brief also states CAR-T/TCRs have 2.3 times the LoA of haematological oncology drugs (BIO), and CGTlive reports a 100% Phase 3 progression rate for CAR-T/TCRs versus 48% for oncology drugs in that cut."
likelihood_of_approval,"all drugs in CGT-like therapeutic areas [BIO composite, NEWDIGS 2023 brief; not S06]",Phase I,Approval,13,percent,,2011-2020,28,orphan gene therapy LoA (rounded) in the 2023 brief,CGT orphan gene therapies are still more than twice as likely to be approved as the average drug in similar therapeutic areas (28 % LoA / 13% LoA = 2.2X) and outperform in every phase of the clinical development process (Figure 3).,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2023/10/NEWDIGS-Success-Rate-Comparison-2023F210v056.pdf,verified-from-source,"NOT S06: predecessor NEWDIGS FoCUS Research Brief 2023F210v056 'Are Cell and Gene Therapy programs a better bet?' (9 October 2023; PAM trials 1988-end 2020; funded by the FoCUS consortium and the Alliance for Regenerative Medicine). Recorded because news coverage (CGTlive 11 Oct 2023, NEWDIGS press release 11 Oct 2023) quotes these older figures and they differ from the 2025 article. No phase durations reported in the brief either. Therapeutic areas in the composite: hematology, autoimmune, metabolic, neurology, ophthalmology (unweighted mean of BIO area estimates)."
phase_duration_median,durable CGT,,,,months,,,,,,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,gap,"No phase durations (median or mean) are reported in the supplementary information, the 2023 NEWDIGS brief, or any coverage found; the two-page main article (paywalled) was not read, but its stated scope is success rates and comparators only. The PAM macro does record start and end dates of each phase per programme, so durations exist in the underlying model but are not published here."
transition_probability,in vivo gene therapy / ex vivo gene-modified cell therapy / gene editing (modality subtypes),,,,percent,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,gap,The article defines four qualifying modalities (viral-vector gene replacement in vivo and ex vivo; CAR/TCR immune cells; ZFN/TALEN/CRISPR-Cas9 gene editing; long-acting DNA plasmids) but reports rates only for two groups: rare disease (orphan) gene therapy and haematological CAR-T/TCR therapy. No oncology-versus-non-oncology or rare-versus-common split beyond those two groups; cell therapies for solid tumours were not sufficiently mature to be included (per the 2023 brief).
