nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set,start_year,stratum,cell_n,has_reason,names_financial_cause,names_financial_or_business,denies_safety_cause,why_s,blocker,biz
NCT05261490,Study of Maplirpacept (PF-07901801) in Combination With PLD in Patients With Platinum-Resistant Ovarian Cancer,TERMINATED,2022-08-01,A business decision was made by Pfizer to terminate and remove the Phase 2 expansion of this study for administrative reasons. The reason for study termination is not due to any safety concerns or requests from regulatory authorities.,PHASE1|PHASE2,10,Pfizer,INDUSTRY,Ovarian Cancer|Ovarian Neoplasms|Ovarian Carcinoma|Fallopian Tube Cancer|Epithelial Ovarian Cancer|Primary Peritoneal Carcinoma,maplirpacept (PF-07901801)|Pegylated Liposomal Doxorubicin (PLD),2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,True,True,A business decision was made by Pfizer to terminate and remove the Phase 2 expansion of this study for administrative reasons. The reason for study termination is not due to any safety concerns or requests from regulatory authorities.,"Funding, business or strategic decision",True
NCT05636267,Study of AK119 and AK112 With or Without Chemotherapy for NSCLC Patients,TERMINATED,2023-02-10,Terminated due to sponsor strategic development reprioritization.,PHASE1|PHASE2,59,Akeso,INDUSTRY,NSCLC,AK119|AK112|Pemetrexed|Carboplatin,2026-09-07,False,False,2023,phase 1/2 x 2022-2025,19,True,False,True,False,Terminated due to sponsor strategic development reprioritization.,"Funding, business or strategic decision",True
NCT05949632,A Study of INCB099280 in Combination With Axitinib in Adults With Advanced Solid Tumors,TERMINATED,2024-04-16,This was a strategic business decision. There were no safety concerns contributing to this decision.,PHASE1|PHASE2,5,Incyte Corporation,INDUSTRY,Advanced Solid Tumors,INCB099280|axitinib,2026-09-07,False,False,2024,phase 1/2 x 2022-2025,19,True,False,True,True,This was a strategic business decision. There were no safety concerns contributing to this decision.,"Funding, business or strategic decision",True
NCT06685068,A Phase 1/2 Study of GEN1286 in Patients With Advanced Solid Tumors,TERMINATED,2024-11-13,Genmab has decided to terminate the GEN1286 program due to an unfavorable benefit-risk profile not supporting further development.,PHASE1|PHASE2,23,Genmab,INDUSTRY,Advanced Solid Tumor,GEN1286,2026-09-07,False,False,2024,phase 1/2 x 2022-2025,19,True,False,False,False,Genmab has decided to terminate the GEN1286 program due to an unfavorable benefit-risk profile not supporting further development.,Safety or toxicity,False
NCT05502367,A Study of ABI-2280 Vaginal Insert (Previously Referred to as ABI-2280 Vaginal Tablet) in Participants With Cervical Intraepithelial Neoplasia,TERMINATED,2022-09-10,Study terminated early due to Antiva business decision.,PHASE1|PHASE2,44,Antiva Biosciences,INDUSTRY,Cervical Intraepithelial Neoplasia,ABI-2280 Vaginal Tablet/Insert,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,True,False,Study terminated early due to Antiva business decision.,"Funding, business or strategic decision",True
NCT05683860,Open-label Extension (OLE) Study of WVE-004 in Patients With C9orf72-associated Amyotrophic Lateral Sclerosis (ALS) and/or Frontotemporal Dementia (FTD),TERMINATED,2022-12-14,"Despite robust, sustained reductions in poly(GP), no clinical benefit was seen at 24 weeks, and reductions in poly(GP) were not associated with stabilization in functional outcomes. Based on these data, Wave decided to stop development of WVE-004.",PHASE1|PHASE2,8,"Wave Life Sciences USA, Inc.",INDUSTRY,ALS|FTD,WVE-004,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,False,False,"Despite robust, sustained reductions in poly(GP), no clinical benefit was seen at 24 weeks, and reductions in poly(GP) were not associated with stabilization in functional outcomes. Based on these data, Wave decided to stop development of WVE-004.",Efficacy failure or futility,False
NCT05525247,"A Phase 1/2, Open-label, Multicenter, Dose Escalation and Expansion Study of SLC-3010 Monotherapy and in Combination",TERMINATED,2022-12-21,Business decision,PHASE1|PHASE2,27,Selecxine,INDUSTRY,Advanced Solid Tumor,SLC-3010|Gemcitabine,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,True,False,Business decision,"Funding, business or strategic decision",True
NCT05392751,Dose Escalation Study to Evaluate the Safety/Tolerability and Efficacy of EA-2353 in Subjects With Retinitis Pigmentosa,TERMINATED,2022-06-02,Study terminated by the Sponsor. All study participants completed at least 12 months of safety follow-up instead of 24 mo. The reason for earlier termination was due to a corporate decision; not any safety concerns of EA-2353.,PHASE1|PHASE2,14,"Endogena Therapeutics, Inc",INDUSTRY,Retinitis Pigmentosa|Retinitis Pigmentosa Syndrome,EA-2353,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,False,False,Study terminated by the Sponsor. All study participants completed at least 12 months of safety follow-up instead of 24 mo. The reason for earlier termination was due to a corporate decision; not any safety concerns of EA-2353.,"Funding, business or strategic decision",True
NCT05357027,HPV16 E6 TCR T Cells for Cervical Carcinoma,TERMINATED,2022-08-10,Study terminated due to strategic portfolio decision to reallocate resources to higher-priority programs,PHASE1|PHASE2,5,TCRCure Biopharma Ltd.,INDUSTRY,Cervical Carcinoma,TC-E202 cells|IL-2|Fludarabine|Cyclophosphamide Capsules,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,True,True,False,Study terminated due to strategic portfolio decision to reallocate resources to higher-priority programs,"Funding, business or strategic decision",True
NCT06088654,Phase1/2 Study of IPH6501 in Patients With Relapsed /Refractory B-Cell Non-Hodgkin Lymphoma,TERMINATED,2024-03-04,"Following Completion of dose escalation, the study has been discontinued as part of the Company's strategic priorization of its pipeline.",PHASE1|PHASE2,23,Innate Pharma,INDUSTRY,Non Hodgkin Lymphoma,IPH6501,2026-09-07,False,False,2024,phase 1/2 x 2022-2025,19,True,False,True,False,"Following Completion of dose escalation, the study has been discontinued as part of the Company's strategic priorization of its pipeline.","Funding, business or strategic decision",True
NCT06290388,Study of 23ME-01473 in Patients With Advanced Solid Malignancies,TERMINATED,2024-03-07,Sponsor cancelled study,PHASE1|PHASE2,5,"23andMe, Inc.",INDUSTRY,Solid Tumor,23ME-01473,2026-09-07,False,False,2024,phase 1/2 x 2022-2025,19,True,False,False,False,Sponsor cancelled study,"Funding, business or strategic decision",True
NCT05633160,64Cu-SAR-BBN and 67CU SAR-BBN for Identification and Treatment of Gastrin Releasing Peptide Receptor (GRPR)-Expressing Metastatic Castrate Resistant Prostate Cancer in Patients Who Are Ineligible for Therapy With 177Lu-PSMA-617 (COMBAT),TERMINATED,2023-06-15,Sponsor Decision,PHASE1|PHASE2,4,Clarity Pharmaceuticals Ltd,INDUSTRY,Prostatic Neoplasms|Castration-Resistant,64Cu-SAR-BBN|67Cu-SAR-BBN,2026-09-07,False,False,2023,phase 1/2 x 2022-2025,19,True,False,False,False,Sponsor Decision,"Funding, business or strategic decision",True
NCT05348889,First-in-Human (FIH) Trial of 1A46 in Subjects with Advanced CD20 And/or CD19 Positive B-cell Hematologic Malignancies,TERMINATED,2022-08-30,Sponsor's Research and Development strategy adjustment,PHASE1|PHASE2,7,"Chimagen Biosciences, Ltd",INDUSTRY,"Non-Hodgkin's Lymphoma (disorder)|Acute Lymphoid Leukemia, Disease (disorder)",1A46 Injection,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,True,False,Sponsor's Research and Development strategy adjustment,"Funding, business or strategic decision",True
NCT06257758,A Phase 1/2 Study of VIO-01 in Participants With Recurrent Solid Tumors,TERMINATED,2024-01-10,Business decision,PHASE1|PHASE2,6,Valerio Therapeutics,INDUSTRY,Advanced or Metastatic Solid Tumors|Breast Cancer|Recurrent Ovarian Cancer|Prostate Cancer,VIO-01,2026-09-07,False,False,2024,phase 1/2 x 2022-2025,19,True,False,True,False,Business decision,"Funding, business or strategic decision",True
NCT05709821,IMM60 and Pembrolizumab in Melanoma and NSCLC,TERMINATED,2023-11-15,Prioritization of other pipeline assets. No safety or efficacy issues were observed.,PHASE1|PHASE2,1,iOx Therapeutics,INDUSTRY,Non-small Cell Lung Cancer|Melanoma,IMM60|Pembrolizumab,2026-09-07,False,False,2023,phase 1/2 x 2022-2025,19,True,False,True,False,Prioritization of other pipeline assets. No safety or efficacy issues were observed.,"Funding, business or strategic decision",True
NCT05497453,A Phase 1/2 Study to Evaluate OTX-2002 in Patients with Hepatocellular Carcinoma and Other Solid Tumor Types Known for Association with the MYC Oncogene,TERMINATED,2022-08-19,Sponsor decision to terminate after monotherapy dose escalation.,PHASE1|PHASE2,24,Omega Therapeutics,INDUSTRY,"Hepatocellular Carcinoma|Solid Tumor|Hepatocellular Carcinoma Non-resectable|Hepatocellular Carcinoma Recurrent|Hepatocellular Cancer|Liver Cancer|Liver, Cancer Of, Non-Resectable","OTX-2002|Tyrosine kinase inhibitor One|Tyrosine kinase inhibitor Two|Checkpoint Inhibitor, Immune",2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,False,False,Sponsor decision to terminate after monotherapy dose escalation.,"Funding, business or strategic decision",True
NCT05234606,A Safety and Preliminary Efficacy Study of SBT6290 Alone and in Combination With PD-(L)1 Inhibitors in Select Advanced Solid Tumors,WITHDRAWN,2022-03,Sponsor decision based on strategic re-alignment,PHASE1|PHASE2,0,Silverback Therapeutics,INDUSTRY,Urothelial Carcinoma|Triple Negative Breast Cancer|Non-small Cell Lung Cancer|Squamous Cell Carcinoma of Head and Neck|Hormone Receptor-positive/HER2-negative Breast Cancer,SBT6290|SBT6290|pembrolizumab,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,True,False,Sponsor decision based on strategic re-alignment,"Funding, business or strategic decision",True
NCT04739358,CNS Dose Escalation/Expansion of Tepotinib in MET-driven NSCLC,TERMINATED,2022-05-25,Study was terminated due to lack of lack of enrollment and difficult patient population.,PHASE1|PHASE2,2,"Criterium, Inc.",INDUSTRY,Advanced Non-Small Cell Lung Cancer With MET Mutations,Tepotinib,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,False,False,Study was terminated due to lack of lack of enrollment and difficult patient population.,Recruitment or feasibility failure,False
NCT05662670,A Phase I/II Study of WJ13404 Monotherapy in Patients With Advanced or Mentastatic Non-Small Cell Lung Cancer,TERMINATED,2022-10-11,"Due to the adjustment of the R\&D strategy, Suzhou Junjing Biosciences Co., Ltd. decided to terminate this study in September 2023",PHASE1|PHASE2,14,"Suzhou Junjing BioSciences Co., Ltd.",INDUSTRY,Locally Advanced or Metastatic NSCLC,WJ13404 tablets,2026-09-07,False,False,2022,phase 1/2 x 2022-2025,19,True,False,True,False,"Due to the adjustment of the R\&D strategy, Suzhou Junjing Biosciences Co., Ltd. decided to terminate this study in September 2023","Funding, business or strategic decision",True
NCT06495307,RHPRG4 FOR THE TREATMENT OF OCULAR GRAFT-VERSUS-HOST DISEASE (OGVHD),TERMINATED,2025-02-14,Efficacy signal substantial enough to more to larger study,PHASE1|PHASE2,3,Lubris Bio Pty Ltd,INDUSTRY,Ocular Graft-versus-host Disease,rhPRG4,2026-09-07,False,False,2025,phase 1/2 x 2022-2025,19,True,False,False,False,Efficacy signal substantial enough to more to larger study,Protocol redesign or replacement,False
NCT06677307,"A Phase 1/2a, Single- and Multiple-dose Escalation Study of KRRO-110",TERMINATED,2025-01-13,The study was terminated for business decision reasons.,PHASE1|PHASE2,42,"Korro Bio, Inc.",INDUSTRY,Alpha-1 Anti-trypsin Deficiency|AATD,KRRO-110,2026-09-07,False,False,2025,phase 1/2 x 2022-2025,19,True,False,True,False,The study was terminated for business decision reasons.,"Funding, business or strategic decision",True
NCT05590377,A Study of Modakafusp Alfa Together With Daratumumab Adults With Relapsed or Refractory Multiple Myeloma,TERMINATED,2023-01-23,"After completion of Phase 1 Dose Escalation of this study the sponsor decided not to proceed with Phase 2a due to strategic reasons. Thus, no participants were enrolled for Phase 2a and the study was terminated early.",PHASE1|PHASE2,15,Teva Branded Pharmaceutical Products R&D LLC,INDUSTRY,Multiple Myeloma,Modakafusp Alfa|Daratumumab,2026-09-07,False,False,2023,phase 1/2 x 2022-2025,19,True,False,True,False,"After completion of Phase 1 Dose Escalation of this study the sponsor decided not to proceed with Phase 2a due to strategic reasons. Thus, no participants were enrolled for Phase 2a and the study was terminated early.","Funding, business or strategic decision",True
NCT02418000,A Study of E6201 for the Treatment of Advanced Hematologic Malignancies With FLT3 and/or Ras Mutations,TERMINATED,2015-04-10,Insufficient efficacy in Phase 1 dose-escalation portion of study,PHASE1|PHASE2,27,"Spirita Oncology, LLC",INDUSTRY,AML|MDS|CMML,E6201,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,Insufficient efficacy in Phase 1 dose-escalation portion of study,Efficacy failure or futility,False
NCT03521232,A Study of Niclosamide Enemas in Subjects With Active Ulcerative Proctitis or Ulcerative Proctosigmoiditis,TERMINATED,2018-05-15,Covid-19,PHASE1|PHASE2,27,Entero Therapeutics,INDUSTRY,Ulcerative Colitis|Ulcerative Proctitis|Ulcerative Proctosigmoiditis,Niclosamide,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,False,False,Covid-19,COVID-19 disruption,False
NCT03519178,A Study of PF-06873600 in People With Cancer,TERMINATED,2018-03-07,"Per business decision, but not due to safety concerns or regulatory request.",PHASE1|PHASE2,155,Pfizer,INDUSTRY,"HR+ HER2- Metastatic Breast Cancer, Ovarian Cancer, Fallopian Tube Cancer, Primary Peritoneal Cancer, Triple Negative Breast Cancer, Male Breast Cancer",PF-06873600|Endocrine Therapy 1|Endocrine Therapy 2,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,True,True,"Per business decision, but not due to safety concerns or regulatory request.","Funding, business or strategic decision",True
NCT02566603,"PRTX-100-203 Open-Label, Dose Escalation Study in Adult Patients With ITP",TERMINATED,2015-11,Enough data has been collected to allow analysis of the safety profile and risk-benefit.,PHASE1|PHASE2,15,"Protalex, Inc.",INDUSTRY,Immune Thrombocytopenia,PRTX-100|PRTX-100|PRTX-100|PRTX-100|PRTX-100,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,Enough data has been collected to allow analysis of the safety profile and risk-benefit.,"Funding, business or strategic decision",True
NCT03605212,Febuxostat for Tumor Lysis Syndrome Prevention in Hematological Malignancies of Paediatric Patients and Adults,TERMINATED,2017-02-27,The study was stopped as per EMA waiver granted on 20July2018.,PHASE1|PHASE2,30,Menarini Group,INDUSTRY,Tumor Lysis Syndrome,Febuxostat,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,The study was stopped as per EMA waiver granted on 20July2018.,Regulatory or ethics hold,False
NCT03035006,Lipotecan Based Concurrent Chemoradiotherapy in Hepatocellular Carcinoma With Portal Vein Tumor Thrombosis,TERMINATED,2017-04-14,Current study design couldn't support futher development on this indication.,PHASE1|PHASE2,1,Taiwan Liposome Company,INDUSTRY,HepatoCellular Carcinoma|Portal Vein Tumor Thrombosis,Lipotecan,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,Current study design couldn't support futher development on this indication.,Protocol redesign or replacement,False
NCT03167177,QUILT-3.046: NANT Melanoma Vaccine: Combination Immunotherapy in Subjects With Melanoma Who Have Progressed On or After Chemotherapy and PD-1/PD-L1 Therapy,WITHDRAWN,2017-12,Trial not initiated,PHASE1|PHASE2,0,"ImmunityBio, Inc.",INDUSTRY,Melanoma,Avelumab|Bevacizumab|Capecitabine|Cisplatin|Cyclophosphamide|5-fluorouracil|Leucovorin|nab-paclitaxel|Nivolumab|omega-3-acid ethyl esters|Stereotactic Body Radiation Therapy|ALT-803|ETBX-011|ETBX-051|ETBX-061|GI-6207|GI-6301|haNK,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,Trial not initiated,Unclear,False
NCT02541604,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, Immunogenicity, and Preliminary Efficacy of Atezolizumab (Anti-Programmed Death-Ligand 1 [PD-L1] Antibody) in Pediatric and Young Adult Participants With Solid Tumors",TERMINATED,2015-11-30,Sponsor decision to terminate because limited investigational agent activity was observed.,PHASE1|PHASE2,87,Hoffmann-La Roche,INDUSTRY,Solid Tumor,Atezolizumab,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,True,True,False,Sponsor decision to terminate because limited investigational agent activity was observed.,Efficacy failure or futility,False
NCT03329248,QUILT-3.060: NANT Pancreatic Cancer Vaccine: Molecularly Informed Integrated Immunotherapy in Subjects With Pancreatic Cancer Who Have Progressed on or After Standard-of-care Therapy,TERMINATED,2017-11-06,Study halted prematurely and will not resume; participants are no longer being examined or receiving intervention,PHASE1|PHASE2,6,"ImmunityBio, Inc.",INDUSTRY,Pancreatic Cancer,ALT-803|ETBX-011|GI-4000|haNK for infusion|avelumab|bevacizumab|Capecitabine|Cyclophosphamide|Fluorouracil|Leucovorin|nab-Paclitaxel|lovaza|Oxaliplatin|SBRT,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,Study halted prematurely and will not resume; participants are no longer being examined or receiving intervention,Unclear,False
NCT02389985,"A Study of CRLX101(NLG207) in Combination With Weekly Paclitaxel in Patients With Recurrent or Persistent Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Cancer",TERMINATED,2015-07,Company decision,PHASE1|PHASE2,30,NewLink Genetics Corporation,INDUSTRY,Ovarian Cancer,CRLX101|Paclitaxel,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,Company decision,"Funding, business or strategic decision",True
NCT02575807,"Safety and Efficacy of CRS-207 With Epacadostat in Platinum Resistant Ovarian, Fallopian or Peritoneal Cancer",TERMINATED,2016-03-08,Study was stopped due to low enrollment and lack of clinical activity.,PHASE1|PHASE2,35,"Aduro Biotech, Inc.",INDUSTRY,Platinum-resistant Ovarian Cancer|Platinum-resistant Fallopian Cancer|Platinum-resistant Peritoneal Cancer,CRS-207|Epacadostat|Pembrolizumab,2026-09-07,False,False,2016,phase 1/2 x 2015-2018,14,True,False,False,False,Study was stopped due to low enrollment and lack of clinical activity.,Efficacy failure or futility,False
NCT02472977,Safety and Efficacy Study of Ulocuplumab and Nivolumab in Subjects With Solid Tumors,TERMINATED,2015-07-13,Trial terminated because of lack of efficacy in the short term acute phase,PHASE1|PHASE2,61,Bristol-Myers Squibb,INDUSTRY,Solid Tumor,Ulocuplumab|Nivolumab,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,Trial terminated because of lack of efficacy in the short term acute phase,Efficacy failure or futility,False
NCT03724071,Study of TG6002 (VV TK-RR-FCU1) in Combination With 5-FC in Patients With Advanced Gastro-intestinal Tumors.,TERMINATED,2018-10-16,Study has been terminated after Phase I part on 23 February 2023,PHASE1|PHASE2,51,Transgene,INDUSTRY,Colorectal Neoplasm|Digestive System Neoplasm,"TG6002|Flucytosine (5-FC, Ancotil)",2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,False,False,Study has been terminated after Phase I part on 23 February 2023,Unclear,False
NCT02291055,A Study of ADXS11-001 or MEDI4736 Alone or Combination In Cervical or Human Papillomavirus (HPV)+ Head & Neck Cancer,TERMINATED,2015-04,,PHASE1|PHASE2,75,"Advaxis, Inc.",INDUSTRY,Cervical Cancer|Cancer|Head and Neck Cancer,ADXS11-001|MEDI4736,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,False,False,False,False,,No reason stated,False
NCT02393248,"Open-Label, Dose-Escalation Study of Pemigatinib in Subjects With Advanced Malignancies - (FIGHT-101)",TERMINATED,2015-02-27,,PHASE1|PHASE2,201,Incyte Corporation,INDUSTRY,Lung Cancer|Solid Tumor|Gastric Cancer|Urothelial Cancer|Endometrial Cancer|Multiple Myeloma|Myeloproliferative Neoplasms|Breast Cancer|Cholangiocarcinoma|UC|MPN,Pemigatinib|Gemcitabine|Pembrolizumab|Docetaxel|Trastuzumab|Retifanlimab|Cisplatin,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,False,False,False,False,,No reason stated,False
NCT03169738,QUILT-3.044: NANT Non-small Cell Lung Cancer (NSCLC) Vaccine: Combination Immunotherapy in Subjects With NSCLC Who Have Progressed After Treatment With PD-1/PD-L1 Inhibitors,WITHDRAWN,2018-02,Trial not initiated,PHASE1|PHASE2,0,"ImmunityBio, Inc.",INDUSTRY,Non-small Cell Lung Cancer,avelumab|Bevacizumab|Capecitabine|Cisplatin|cyclophosphamide|5-Fluorouracil (5-FU)|fulvestrant|leucovorin|nab paclitaxel|nivolumab|Lovaza|Oxaliplatin|Stereotactic Body Radiation Therapy|ALT-803|ETBX-011|ETBX-021|ETBX-051|ETBX-061|GI-4000|GI-6207|GI-6301|haNK,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,False,False,Trial not initiated,Unclear,False
NCT02929498,"Safety, Clinical Activity, Pharmacokinetics (PK) and Pharmacodynamics Study of GSK2879552, Alone or With Azacitidine, in Subjects With High Risk Myelodysplastic Syndromes (MDS)",TERMINATED,2017-07-31,The risk benefit in the study population does not favor continuation of the study,PHASE1|PHASE2,7,GlaxoSmithKline,INDUSTRY,Myelodysplastic Syndrome|Myelodysplastic Syndromes,GSK2879552|Azacitidine,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,The risk benefit in the study population does not favor continuation of the study,Safety or toxicity,False
NCT03175978,IGF-MTX Conjugate in the Treatment of Myelodysplastic Syndrome,TERMINATED,2018-02-21,Funding,PHASE1|PHASE2,2,"IGF Oncology, LLC",INDUSTRY,"Myelodysplastic Syndromes|Leukemia, Myelomonocytic, Chronic|Anemia, Refractory, With Excess of Blasts",IGF/MTX,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,True,True,False,Funding,"Funding, business or strategic decision",True
NCT03592264,A Phase I/II Study of OBI-3424 in Subjects with Advanced Solid Tumors,TERMINATED,2018-07-02,Little evidence of clinical activity in tumor types enrolled,PHASE1|PHASE2,68,"OBI Pharma, Inc",INDUSTRY,Solid Tumor|Pancreatic Adenocarcinoma,OBI-3424,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,False,False,Little evidence of clinical activity in tumor types enrolled,Efficacy failure or futility,False
NCT02709889,Rovalpituzumab Tesirine in Delta-Like Protein 3-Expressing Advanced Solid Tumors,TERMINATED,2016-09-23,Strategic considerations,PHASE1|PHASE2,200,AbbVie,INDUSTRY,Malignant Melanoma|Medullary Thyroid Cancer|Glioblastoma|Large-Cell Neuroendocrine Carcinoma|Neuroendocrine Prostate Cancer|High Grade Gastroenteropancreatic Neuroendocrine Carcinoma|Other Neuroendocrine Carcinoma|Other Solid Tumors,Rovalpituzumab tesirine|Dexamethasone,2026-09-07,False,False,2016,phase 1/2 x 2015-2018,14,True,False,True,False,Strategic considerations,"Funding, business or strategic decision",True
NCT02557516,"Combination Study of IPH2201 (Monalizumab) With Ibrutinib in Relapsed, Refractory or Previously Untreated CLL",TERMINATED,2015-11-09,Sponsor decision,PHASE1|PHASE2,22,Innate Pharma,INDUSTRY,Chronic Lymphocytic Leukemia,monalizumab,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT03637491,"A Study of Avelumab, Binimetinib and Talazoparib in Patients With Locally Advanced or Metastatic RAS-mutant Solid Tumors",TERMINATED,2018-08-15,Available clinical data has shown limited anti-tumor activity and reaching target study drug dose levels may not be feasible.,PHASE1|PHASE2,36,Pfizer,INDUSTRY,Pancreatic Cancer,Avelumab|Binimetinib|Talazoparib,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,False,False,Available clinical data has shown limited anti-tumor activity and reaching target study drug dose levels may not be feasible.,Efficacy failure or futility,False
NCT02607228,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of GS-5829 (Alobresib) as a Single Agent and In Combination With Enzalutamide in Participants With Metastatic Castrate-Resistant Prostate Cancer",TERMINATED,2015-12-08,,PHASE1|PHASE2,31,Gilead Sciences,INDUSTRY,Metastatic Castrate-Resistant Prostate Cancer,Alobresib|Enzalutamide,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,False,False,False,False,,No reason stated,False
NCT03036046,Safety and Pharmacokinetics of Oral F901318 (Fluconazole and Posaconazole) IN Aml Leukaemia,WITHDRAWN,2017-03,Study no longer required,PHASE1|PHASE2,0,F2G Ltd,INDUSTRY,Acute Myeloid Leukemia,F901318 with fluconazole low dose|F901318 with fluconazole high dose|F901318 with posaconazole,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,Study no longer required,"Funding, business or strategic decision",True
NCT03601897,A Phase 1b/2 Study of Rebastinib (DCC-2036) in Combination With Paclitaxel in Patients With Advanced or Metastatic Solid Tumors,TERMINATED,2018-10-25,Development program terminated.,PHASE1|PHASE2,177,"Deciphera Pharmaceuticals, LLC",INDUSTRY,Locally Advanced or Metastatic Solid Tumor,Rebastinib|Paclitaxel,2026-09-07,False,False,2018,phase 1/2 x 2015-2018,14,True,False,False,False,Development program terminated.,"Funding, business or strategic decision",True
NCT02661022,SL-401 in Combination With Pomalidomide and Dexamethasone in Relapsed or Relapsed and Refractory Multiple Myeloma,TERMINATED,2016-01,,PHASE1|PHASE2,9,"Stemline Therapeutics, Inc.",INDUSTRY,Multiple Myeloma,SL-401 7 µg/kg/day|SL-401 9 µg/kg/day,2026-09-07,False,False,2016,phase 1/2 x 2015-2018,14,False,False,False,False,,No reason stated,False
NCT02605083,A Dose Escalation and Cohort-Expansion Study of Oral eFT508 in Subjects With Advanced Solid Tumors,TERMINATED,2015-12-03,"The study was terminated after determination of the RP2D, prior to opening expansion cohorts)",PHASE1|PHASE2,66,Effector Therapeutics,INDUSTRY,Cancer,eFT508,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,"The study was terminated after determination of the RP2D, prior to opening expansion cohorts)","Funding, business or strategic decision",True
NCT03037645,"Safety, PK, PD, and Antitumor Activity of Vecabrutinib (SNS-062) in B Lymphoid Cancers",TERMINATED,2017-04-28,"Phase 1b portion completed. Sponsor decided not to proceed with P2 portion of study. Vecabrutinib was very well tolerated, there was insufficient evidence of activity at the doses tested in the Phase 1b to advance to Phase 2.",PHASE1|PHASE2,39,Sunesis Pharmaceuticals,INDUSTRY,Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma|Lymphoplasmacytoid Lymphoma|Mantle-Cell Lymphoma|Waldenstrom Macroglobulinemia|Diffuse Large B Cell Lymphoma|Follicular Lymphoma|Marginal Zone Lymphoma,SNS-062,2026-09-07,False,False,2017,phase 1/2 x 2015-2018,14,True,False,False,False,"Phase 1b portion completed. Sponsor decided not to proceed with P2 portion of study. Vecabrutinib was very well tolerated, there was insufficient evidence of activity at the doses tested in the Phase 1b to advance to Phase 2.",Efficacy failure or futility,False
NCT02606123,Safety and Anti-Tumor Study of Oral EPI-506 for Patients With Metastatic Castration-Resistant Prostate Cancer,TERMINATED,2015-10,At end of Phase 1 excessive high pill burden (18 capsules/day),PHASE1|PHASE2,28,ESSA Pharmaceuticals,INDUSTRY,"Prostatic Neoplasms|Genital Neoplasms, Male|Genital Diseases, Male|Prostatic Diseases",EPI-506,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,At end of Phase 1 excessive high pill burden (18 capsules/day),Manufacturing or product supply,False
NCT02372240,A Study of VLX1570 and Dexamethasone in Myeloma Patients,TERMINATED,2015-04-08,Dose limiting tox is observed. Study put on full clinical hold.,PHASE1|PHASE2,15,Vivolux AB,INDUSTRY,Multiple Myeloma,VLX1570 and dexamethasone,2026-09-07,False,False,2015,phase 1/2 x 2015-2018,14,True,False,False,False,Dose limiting tox is observed. Study put on full clinical hold.,Safety or toxicity,False
