why,human_category,categories_allowed
Study discontinued due to sponsor decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study was terminated prematurely due to the inapplicability of the primary outcome measure,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"To unsuccessful recruitment of rare UM-genotype. All other planned genotype groups are completed (EM, IM and PM).",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Did not meet recruitment targets.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Absence of significant therapeutic benefit over existing therapies,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Withdrawn as the clinical development of ATN-224 was terminated by the drug company who was providing ATN-224 for the study,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Slow and poor recruitment.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
no topics to include,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The PI decides to stop.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The study is suspended while preplanned interim analysis is being completed.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Terminated by Sponsor for Business Reasons,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No recruitment (Feasibility study).,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The decision of early termination was made due to business reasons and was not a consequence of any safety concern.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
